
> my-project@0.1.0 dev
> next dev -p 3000

▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.119.76.145:3000
✓ Ready in 727ms
⚠ Warning: Next.js ignored package-lock.json in /home/raftlee/Documentos/Workspace because it is outside the current Git repository (/home/raftlee/Documentos/Workspace/prototipo-vigia).
 To use this directory, set `turbopack.root` in your Next.js config.

✓ Running next.config.mjs took 29ms

 GET /alertas 200 in 2.0s (next.js: 1443ms, proxy.ts: 258ms, application-code: 298ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 93ms (next.js: 33ms, proxy.ts: 7ms, application-code: 53ms)
 GET /api/v1/eventos?limit=10 200 in 65ms (next.js: 26ms, proxy.ts: 8ms, application-code: 31ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 69ms (next.js: 34ms, proxy.ts: 10ms, application-code: 25ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 80ms (next.js: 31ms, proxy.ts: 6ms, application-code: 43ms)
 GET /api/v1/eventos?limit=10 200 in 89ms (next.js: 21ms, proxy.ts: 33ms, application-code: 35ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 93ms (next.js: 23ms, proxy.ts: 32ms, application-code: 38ms)
 GET /api/v1/eventos?limit=10 200 in 68ms (next.js: 26ms, proxy.ts: 8ms, application-code: 34ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 73ms (next.js: 33ms, proxy.ts: 8ms, application-code: 32ms)
 GET /api/v1/eventos?limit=10 200 in 69ms (next.js: 29ms, proxy.ts: 8ms, application-code: 32ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 77ms (next.js: 33ms, proxy.ts: 11ms, application-code: 34ms)
 GET /api/v1/eventos?limit=10 200 in 70ms (next.js: 30ms, proxy.ts: 7ms, application-code: 34ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 75ms (next.js: 35ms, proxy.ts: 10ms, application-code: 30ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 65ms (next.js: 34ms, proxy.ts: 7ms, application-code: 24ms)
 GET /api/v1/eventos?limit=10 200 in 76ms (next.js: 27ms, proxy.ts: 10ms, application-code: 39ms)
 GET /api/v1/eventos?limit=10 200 in 78ms (next.js: 29ms, proxy.ts: 7ms, application-code: 43ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 86ms (next.js: 39ms, proxy.ts: 9ms, application-code: 38ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 101ms (next.js: 52ms, proxy.ts: 8ms, application-code: 41ms)
 GET /api/v1/eventos?limit=10 200 in 118ms (next.js: 53ms, proxy.ts: 19ms, application-code: 47ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 116ms (next.js: 67ms, proxy.ts: 17ms, application-code: 32ms)
 GET /api/v1/eventos?limit=10 200 in 86ms (next.js: 33ms, proxy.ts: 9ms, application-code: 45ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 91ms (next.js: 39ms, proxy.ts: 9ms, application-code: 43ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 74ms (next.js: 37ms, proxy.ts: 10ms, application-code: 26ms)
 GET /api/v1/eventos?limit=10 200 in 82ms (next.js: 30ms, proxy.ts: 8ms, application-code: 45ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 72ms (next.js: 36ms, proxy.ts: 11ms, application-code: 24ms)
 GET /api/v1/eventos?limit=10 200 in 84ms (next.js: 32ms, proxy.ts: 7ms, application-code: 46ms)
